"","loan_amnt","term","int_rate","installment","emp_title","emp_length","home_ownership","annual_inc","verification_status","issue_d","loan_status","purpose","title","earliest_cr_line","open_acc","total_acc","application_type","mort_acc","address"
"1",10000," 36 months",11.44,329.48,"Marketing","10+ years","RENT",117000,"Not Verified","Jan-2015","Fully Paid","vacation","Vacation","Jun-1990",16,25,"INDIVIDUAL",0,"0174 Michelle Gateway
Mendozaberg, OK 22690"
"2",8000," 36 months",11.99,265.68,"Credit analyst ","4 years","MORTGAGE",65000,"Not Verified","Jan-2015","Fully Paid","debt_consolidation","Debt consolidation","Jul-2004",17,27,"INDIVIDUAL",3,"1076 Carney Fort Apt. 347
Loganmouth, SD 05113"
"3",15600," 36 months",10.49,506.97,"Statistician","< 1 year","RENT",43057,"Source Verified","Jan-2015","Fully Paid","credit_card","Credit card refinancing","Aug-2007",13,26,"INDIVIDUAL",0,"87025 Mark Dale Apt. 269
New Sabrina, WV 05113"
"4",7200," 36 months",6.49,220.65,"Client Advocate","6 years","RENT",54000,"Not Verified","Nov-2014","Fully Paid","credit_card","Credit card refinancing","Sep-2006",6,13,"INDIVIDUAL",0,"823 Reid Ford
Delacruzside, MA 00813"
"5",24375," 60 months",17.27,609.33,"Destiny Management Inc.","9 years","MORTGAGE",55000,"Verified","Apr-2013","Charged Off","credit_card","Credit Card Refinance","Mar-1999",13,43,"INDIVIDUAL",1,"679 Luna Roads
Greggshire, VA 11650"
"6",20000," 36 months",13.33,677.07,"HR Specialist","10+ years","MORTGAGE",86788,"Verified","Sep-2015","Fully Paid","debt_consolidation","Debt consolidation","Jan-2005",8,23,"INDIVIDUAL",4,"1726 Cooper Passage Suite 129
North Deniseberg, DE 30723"
"7",18000," 36 months",5.32,542.07,"Software Development Engineer","2 years","MORTGAGE",125000,"Source Verified","Sep-2015","Fully Paid","home_improvement","Home improvement","Aug-2005",8,25,"INDIVIDUAL",3,"1008 Erika Vista Suite 748
East Stephanie, TX 22690"
"8",13000," 36 months",11.14,426.47,"Office Depot","10+ years","RENT",46000,"Not Verified","Sep-2012","Fully Paid","credit_card","No More Credit Cards","Sep-1994",11,15,"INDIVIDUAL",0,"USCGC Nunez
FPO AE 30723"
"9",18900," 60 months",10.99,410.84,"Application Architect","10+ years","RENT",103000,"Verified","Oct-2014","Fully Paid","debt_consolidation","Debt consolidation","Jun-1994",13,40,"INDIVIDUAL",3,"USCGC Tran
FPO AP 22690"
"10",26300," 36 months",16.29,928.4,"Regado Biosciences","3 years","MORTGAGE",115000,"Verified","Apr-2012","Fully Paid","debt_consolidation","Debt Consolidation","Dec-1997",13,37,"INDIVIDUAL",1,"3390 Luis Rue
Mauricestad, VA 00813"
"11",10000," 36 months",13.11,337.47,"Sodexo","2 years","RENT",95000,"Verified","Jun-2013","Fully Paid","debt_consolidation","Debt Consolidation","Dec-1990",5,26,"INDIVIDUAL",4,"40245 Cody Drives
Bartlettfort, NM 00813"
"12",35000," 36 months",14.64,1207.13,"Director Bureau of Equipment Inventory","8 years","MORTGAGE",130000,"Verified","May-2014","Fully Paid","credit_card","Credit card refinancing","May-1984",30,61,"INDIVIDUAL",4,"3126 Sean Dale Apt. 141
South Matthew, MS 00813"
"13",7500," 36 months",9.17,239.1,"Social Work/Care Manager","7 years","OWN",55000,"Not Verified","Dec-2015","Fully Paid","debt_consolidation","Debt consolidation","Apr-1995",13,35,"JOINT",4,"4173 David Extension
West Beckyfort, MS 70466"
"14",35000," 60 months",12.29,783.7,"Regional Counsel","10+ years","MORTGAGE",157000,"Verified","Apr-2015","Fully Paid","debt_consolidation","Debt consolidation","Jan-1997",17,27,"INDIVIDUAL",2,"3343 Wells Mews
Shellychester, OR 29597"
"15",25975," 36 months",6.62,797.53,"Pullman Regional Hospital","9 years","MORTGAGE",65000,"Verified","Oct-2012","Fully Paid","small_business","Business","May-2001",9,35,"INDIVIDUAL",6,"0472 Weber Manors Apt. 660
Lake Andrew, NH 29597"
"16",18000," 36 months",8.39,567.3,"firefighter","8 years","MORTGAGE",45000,"Not Verified","Jul-2014","Fully Paid","major_purchase","Major purchase","Sep-1994",5,23,"INDIVIDUAL",4,"11629 Sean Hills Suite 614
Stevenfort, HI 30723"
"17",32350," 60 months",21.98,893.11,"Comcast Corporate office","10+ years","MORTGAGE",72000,"Verified","Feb-2013","Fully Paid","debt_consolidation","Debt consolidation","Mar-1982",16,22,"INDIVIDUAL",1,"407 Briggs Lodge Suite 778
West Aprilborough, PA 00813"
"18",11200," 60 months",12.29,250.79,"principal","10+ years","MORTGAGE",81000,"Not Verified","Oct-2015","Fully Paid","debt_consolidation","Debt consolidation","Sep-1996",6,20,"INDIVIDUAL",5,"487 Jennifer Parkway Suite 940
Cummingsshire, NH 30723"
"19",34000," 36 months",7.9,1063.87,"Pilot","10+ years","RENT",130580,"Verified","Jan-2014","Fully Paid","debt_consolidation","Debt consolidation","Jan-1990",16,36,"INDIVIDUAL",3,"254 Mary Ferry
Port Kirstenborough, CO 70466"
"20",20000," 36 months",6.97,617.27,"Registered Nurse","7 years","MORTGAGE",85000,"Not Verified","Mar-2016","Fully Paid","debt_consolidation","Debt consolidation","Mar-2000",15,38,"INDIVIDUAL",1,"Unit 8386 Box 5821
DPO AE 05113"
"21",9200," 36 months",6.62,282.48,"Personal Trainer","< 1 year","RENT",65000,"Source Verified","Apr-2014","Fully Paid","debt_consolidation","Debt consolidation","Jan-2006",12,23,"INDIVIDUAL",0,"9930 Darryl Hollow Apt. 443
Staffordmouth, CO 30723"
"22",7350," 36 months",13.11,248.05,"Francis Howell School District","10+ years","MORTGAGE",54800,"Not Verified","Jun-2013","Fully Paid","debt_consolidation","Debt Consolidation/Home Repairs","Mar-1999",10,36,"INDIVIDUAL",6,"0224 Kenneth Junctions
Bradystad, SD 05113"
"23",4200," 36 months",6.99,129.67,"midstate steel llc","5 years","OWN",24000,"Not Verified","Jun-2011","Fully Paid","other","kawasaki jetski","Oct-2006",6,7,"INDIVIDUAL",NA,"54395 Melissa Walks
Jenniferbury, AL 05113"
"24",20000," 36 months",8.39,630.34,"Office Manager","10+ years","OWN",55000,"Source Verified","Oct-2014","Fully Paid","debt_consolidation","Debt consolidation","Jan-2003",9,18,"INDIVIDUAL",5,"32520 Shawn Radial Suite 404
South Tamarafort, FL 22690"
"25",5000," 36 months",15.61,174.83,"Operations Manager","5 years","RENT",75000,"Verified","Sep-2015","Fully Paid","vacation","Vacation","May-2008",9,26,"INDIVIDUAL",0,"25722 Horn Harbor
Lauraville, VA 30723"
"26",6000," 36 months",11.36,197.47,"CSU Monterey Bay","2 years","RENT",46680,"Not Verified","Apr-2010","Charged Off","medical","Medical and Post Graduate Education Expenses","Oct-2003",9,10,"INDIVIDUAL",NA,"44130 Powers Course Suite 880
East Preston, AZ 30723"
"27",8400," 36 months",13.35,284.45,"Bartender","6 years","RENT",35000,"Source Verified","Jun-2014","Charged Off","debt_consolidation","Debt consolidation","Jun-2004",6,17,"INDIVIDUAL",0,"Unit 3166 Box 1862
DPO AE 48052"
"28",23050," 36 months",12.12,766.92,"Anheuser-Busch ","3 years","RENT",80000,"Verified","Apr-2013","Fully Paid","debt_consolidation","Credit card debt","Jan-1999",18,23,"INDIVIDUAL",0,"5105 Madison Glen Apt. 955
Charlesport, WI 05113"
"29",15000," 36 months",9.99,483.94,"Teacher","10+ years","MORTGAGE",79000,"Verified","Oct-2013","Fully Paid","debt_consolidation","concolidation","Apr-1994",13,25,"INDIVIDUAL",2,"10747 Jennifer Lights
East Graceburgh, NC 05113"
"30",20000," 36 months",8.19,628.49,"Sr. Business Analyst","10+ years","MORTGAGE",87000,"Source Verified","Nov-2014","Fully Paid","debt_consolidation","Debt consolidation","Mar-2000",15,29,"INDIVIDUAL",6,"955 Tapia Circles Apt. 754
Port Antonio, IN 48052"
"31",13200," 36 months",18.75,482.2,"Medtronic, Inc.","10+ years","RENT",71000,"Source Verified","May-2013","Fully Paid","other","Consolidation Loan","Apr-1998",9,35,"INDIVIDUAL",4,"19223 Laurie Causeway Apt. 914
Barryton, MO 48052"
"32",4600," 36 months",12.29,153.43,"Stocker","5 years","RENT",29400,"Not Verified","Feb-2015","Fully Paid","credit_card","Credit card refinancing","Jul-2007",12,17,"INDIVIDUAL",0,"054 Adam Mission Suite 172
South Mitchell, WI 70466"
"33",3000," 36 months",6.03,91.31,"American Heart Association","1 year","OWN",64000,"Source Verified","Oct-2011","Fully Paid","credit_card","Consolidate debt","Apr-2002",6,18,"INDIVIDUAL",NA,"2722 Smith Branch Suite 131
Shaunbury, NH 22690"
"34",20000," 36 months",12.29,667.06,"Senior Software Engineer","3 years","RENT",95000,"Source Verified","Jun-2015","Fully Paid","debt_consolidation","Debt consolidation","Oct-2007",11,17,"INDIVIDUAL",0,"USNV Trujillo
FPO AA 30723"
"35",12725," 36 months",14.99,441.06,"dealer","10+ years","RENT",43000,"Not Verified","Jun-2014","Fully Paid","debt_consolidation","Debt consolidation","Jun-2004",10,16,"INDIVIDUAL",0,"85164 Michael Overpass Suite 653
Lancechester, SD 30723"
"36",5375," 36 months",13.11,181.39,"","","RENT",34000,"Verified","May-2013","Fully Paid","credit_card","Pay Off Credit Card","Apr-1998",9,20,"INDIVIDUAL",5,"23617 Michael Viaduct
West John, MS 05113"
"37",3250," 36 months",16.78,115.52,"","","RENT",22500,"Verified","Aug-2013","Charged Off","debt_consolidation","Cover","Jun-2009",7,7,"INDIVIDUAL",0,"361 Erica Forest
Lake Mariaton, TN 30723"
"38",15000," 36 months",13.67,510.27,"facility technician","10+ years","MORTGAGE",90000,"Not Verified","Oct-2013","Fully Paid","debt_consolidation","Making a difference","May-1997",10,40,"INDIVIDUAL",2,"974 Wood Squares
West Stevenfurt, KS 05113"
"39",15000," 36 months",13.35,507.95,"Housekeeper","7 years","RENT",52000,"Verified","Jun-2014","Fully Paid","credit_card","Credit card refinancing","Jul-2006",13,21,"INDIVIDUAL",0,"76019 Young Motorway Suite 134
New Heatherland, DE 00813"
"40",10800," 36 months",13.98,369.02,"Shift Supervisor","4 years","RENT",51840,"Source Verified","Oct-2014","Fully Paid","credit_card","Credit card refinancing","Sep-2003",11,22,"INDIVIDUAL",1,"PSC 5108, Box 2953
APO AP 05113"
"41",35000," 60 months",16.99,869.66,"","4 years","MORTGAGE",130000,"Verified","Feb-2014","Fully Paid","debt_consolidation","Debt consolidation","Aug-1992",10,27,"INDIVIDUAL",10,"8268 Reed Gardens Suite 996
East Johnmouth, ND 05113"
"42",28000," 60 months",19.91,312.04,"American Airlines","10+ years","RENT",52000,"Verified","Dec-2011","Charged Off","debt_consolidation","Debt Consalidation","Dec-1988",10,16,"INDIVIDUAL",NA,"5836 Garcia Falls Apt. 525
Matthewtown, CT 22690"
"43",21000," 60 months",17.86,531.67,"laborer","2 years","MORTGAGE",80000,"Source Verified","Dec-2015","Fully Paid","debt_consolidation","Debt consolidation","Feb-2002",15,35,"INDIVIDUAL",1,"419 James Branch
Johnsonmouth, WY 70466"
"44",8400," 36 months",12.12,279.49,"Vegas.com","10+ years","RENT",120000,"Verified","Mar-2013","Fully Paid","debt_consolidation","Debt consolidation","Jan-1992",11,34,"INDIVIDUAL",6,"976 Smith Bridge
West Michael, NE 30723"
"45",11950," 60 months",16.29,292.45,"labor","10+ years","RENT",30000,"Source Verified","Oct-2014","Fully Paid","debt_consolidation","Debt consolidation","Aug-2001",6,15,"INDIVIDUAL",1,"0062 Stephanie Well Suite 269
Riveratown, TX 48052"
"46",6700," 36 months",21.49,254.12,"Home attendant ","< 1 year","RENT",21000,"Verified","Jun-2016","Fully Paid","debt_consolidation","Debt consolidation","Dec-2010",15,21,"INDIVIDUAL",0,"PSC 7168, Box 4065
APO AA 22690"
"47",16000," 36 months",12.99,539.03,"Payroll Manager","10+ years","MORTGAGE",78000,"Source Verified","Mar-2014","Fully Paid","debt_consolidation","Debt consolidation","Oct-1999",15,23,"INDIVIDUAL",2,"62323 Christopher Forges Apt. 968
Cindyview, RI 00813"
"48",20000," 36 months",13.67,680.36,"Litigation Paralegal","10+ years","MORTGAGE",64000,"Verified","Nov-2013","Fully Paid","debt_consolidation","Thank you for your help!","Sep-2004",18,37,"INDIVIDUAL",3,"57769 John Via Suite 037
Stephaniehaven, AR 48052"
"49",16000," 60 months",18.54,411.01,"Accountant","3 years","RENT",40000,"Source Verified","Dec-2014","Charged Off","debt_consolidation","Debt consolidation","Sep-2003",16,20,"INDIVIDUAL",0,"76010 Houston Haven
Port Keithburgh, MI 86630"
"50",15000," 36 months",7.89,469.29,"","","MORTGAGE",90000,"Verified","Apr-2016","Fully Paid","debt_consolidation","Debt consolidation","Aug-1994",7,18,"INDIVIDUAL",6,"84009 David Stream
South Nicolehaven, IL 05113"
"51",12875," 36 months",17.1,459.67,"Cracker Barrel Old Country Store","8 years","OWN",58000,"Not Verified","Sep-2013","Fully Paid","medical","Medical expenses","Jul-2003",11,16,"INDIVIDUAL",0,"70807 Elizabeth Vista Apt. 384
Garciaville, CO 29597"
"52",15000," 60 months",18.25,382.95,"Rn","8 years","MORTGAGE",75000,"Source Verified","May-2016","Fully Paid","debt_consolidation","Debt consolidation","Apr-1995",18,23,"INDIVIDUAL",2,"51321 Joshua Villages Suite 660
West Amandaside, AR 05113"
"53",8000," 36 months",11.67,264.46,"Client Support Specialist","9 years","OWN",55000,"Source Verified","Oct-2014","Fully Paid","debt_consolidation","Debt consolidation","Apr-2000",15,36,"INDIVIDUAL",4,"71523 Jamie Cove Suite 930
North Barbara, LA 05113"
"54",14000," 36 months",6.24,427.44,"Branch Manager","2 years","MORTGAGE",1e+05,"Not Verified","Jul-2015","Fully Paid","debt_consolidation","Debt consolidation","Jan-1999",11,29,"INDIVIDUAL",3,"655 Lawrence Ville Apt. 951
West Coleland, MO 05113"
"55",12000," 60 months",8.18,244.36,"clinical therapist","7 years","MORTGAGE",60000,"Source Verified","Apr-2015","Charged Off","debt_consolidation","Debt consolidation","Feb-2002",7,20,"INDIVIDUAL",1,"78275 Rodriguez Square
Hallchester, AZ 30723"
"56",15000," 36 months",13.98,512.52,"Armored Car Guard","3 years","OWN",40000,"Not Verified","Oct-2014","Fully Paid","debt_consolidation","Debt consolidation","Jan-2006",4,9,"INDIVIDUAL",0,"6360 Claire Motorway
East Shannonchester, AL 05113"
"57",12000," 36 months",12.35,400.59,"MCSO","6 years","MORTGAGE",38000,"Not Verified","Jul-2013","Fully Paid","credit_card","Credit card refinancing","Dec-2004",10,14,"INDIVIDUAL",2,"5100 Cantu Burg Apt. 409
Adamland, PA 48052"
"58",35000," 36 months",14.16,1198.94,"Administrator","9 years","MORTGAGE",118497.84,"Verified","Mar-2014","Fully Paid","debt_consolidation","Debt consolidation","Jun-1995",8,59,"INDIVIDUAL",3,"578 Smith View Suite 106
Miguelfort, IN 29597"
"59",10000," 36 months",17.56,359.33,"","","MORTGAGE",32000,"Verified","Jul-2013","Fully Paid","debt_consolidation","debt consolidation","Sep-2006",6,7,"INDIVIDUAL",0,"965 Spencer Courts
Pacetown, AZ 00813"
"60",15000," 60 months",18.55,385.41,"Field Biologist","3 years","RENT",50000,"Verified","Jul-2015","Fully Paid","other","Other","Dec-2003",6,23,"INDIVIDUAL",3,"230 Denise Vista
Carterville, NY 30723"
"61",9000," 36 months",12.35,300.44,"salt lake city school district","7 years","MORTGAGE",59500,"Not Verified","Aug-2013","Fully Paid","credit_card","Credit card refinancing","Jul-1994",9,35,"INDIVIDUAL",4,"199 David Lane
South Virginiaberg, ND 70466"
"62",25000," 60 months",22.15,692.61,"Rural Letter Carrier","10+ years","MORTGAGE",80000,"Source Verified","Aug-2014","Fully Paid","home_improvement","Home improvement","Oct-1990",13,41,"INDIVIDUAL",4,"0676 Kaiser Bypass
Singhburgh, SD 22690"
"63",5000," 36 months",10.39,118.45,"self","10+ years","RENT",66000,"Not Verified","May-2008","Fully Paid","medical","Dental Work","Dec-2001",12,17,"INDIVIDUAL",NA,"USS Goodman
FPO AE 22690"
"64",20000," 36 months",7.9,625.81,"Sr Social Worker","9 years","RENT",76000,"Verified","Nov-2013","Fully Paid","debt_consolidation","Dept Consolodation/Home Improvement","Apr-1999",10,19,"INDIVIDUAL",0,"973 Carlos Junctions Suite 840
Reneechester, NC 00813"
"65",10000," 60 months",15.99,243.13,"Truck driver","5 years","RENT",60000,"Source Verified","Jan-2015","Fully Paid","credit_card","Credit card refinancing","Dec-2001",8,14,"INDIVIDUAL",2,"5723 Kane Skyway Apt. 920
New Oliviachester, IA 00813"
"66",10000," 36 months",16.07,351.94,"Taylor Public Schools","10+ years","RENT",61000,"Verified","Mar-2010","Fully Paid","debt_consolidation","Want to be debt free in ""3""","Feb-1995",11,19,"INDIVIDUAL",NA,"3109 Rachel Shores Suite 682
Port Andreaside, AK 05113"
"67",15975," 60 months",24.99,468.8,"carrier","5 years","MORTGAGE",47000,"Verified","Dec-2015","Fully Paid","debt_consolidation","Debt consolidation","May-2003",10,23,"INDIVIDUAL",1,"59681 Christopher Lock
North Williamtown, UT 70466"
"68",12000," 60 months",14.99,285.42,"Attorney","1 year","MORTGAGE",128000,"Verified","Nov-2014","Fully Paid","debt_consolidation","Debt consolidation","Oct-2002",8,21,"INDIVIDUAL",2,"88359 Howard Landing Apt. 565
Rodriguezton, NE 48052"
"69",9900," 36 months",9.67,317.92,"Bartender","3 years","RENT",40000,"Verified","Dec-2013","Fully Paid","credit_card","Moving Forward","Sep-2003",8,12,"INDIVIDUAL",0,"68278 Henderson Junction Suite 802
Port Georgetown, OK 29597"
"70",3350," 36 months",15.61,117.14,"Administrative Assistant","10+ years","MORTGAGE",52000,"Not Verified","Oct-2014","Charged Off","debt_consolidation","Debt consolidation","Mar-2004",4,9,"INDIVIDUAL",1,"97848 Roman Circles Suite 098
New Claudiafort, RI 48052"
"71",17000," 60 months",19.19,442.77,"Bookkeeper","2 years","RENT",50000,"Source Verified","Jul-2015","Fully Paid","small_business","Business","Aug-2003",14,21,"INDIVIDUAL",0,"308 Silva Centers Suite 208
West Davidview, WI 48052"
"72",6425," 36 months",8.39,202.5,"Office Administrator","3 years","RENT",33000,"Not Verified","Jun-2014","Fully Paid","debt_consolidation","Debt consolidation","Oct-2000",13,30,"INDIVIDUAL",0,"5012 Carter Lock Apt. 045
North Robertberg, NE 30723"
"73",7200," 36 months",21,271.27,"Roofers Local 195","5 years","RENT",30000,"Not Verified","May-2013","Charged Off","credit_card","Bills","Nov-2004",8,13,"INDIVIDUAL",0,"00014 Rocha Walk
Jacksonstad, MD 93700"
"74",7475," 36 months",12.69,250.75,"Cleric II","< 1 year","RENT",33000,"Verified","Apr-2015","Fully Paid","debt_consolidation","Debt consolidation","Mar-2010",20,30,"INDIVIDUAL",0,"1200 Hines Mountains Apt. 494
West Tiffany, MA 70466"
"75",10000," 36 months",13.98,341.68,"Executive Manager","10+ years","MORTGAGE",55200,"Not Verified","Jun-2014","Fully Paid","credit_card","Credit card refinancing","Mar-1996",13,27,"INDIVIDUAL",3,"4798 Monica Lock Suite 925
North Michelleberg, SD 00813"
"76",13200," 36 months",10.74,430.53,"Brookdale University Hospital","1 year","RENT",45000,"Source Verified","Mar-2012","Fully Paid","debt_consolidation","Honost Consolidation","May-1994",8,10,"INDIVIDUAL",0,"1741 Jackson Street Suite 615
New Jenny, MA 70466"
